SalesOrderId,OrderDate,DueDate,ShipDate,CustomerId,SalesTerritoryId,ShipToName,ShipToAddressLine1,ShipToAddresLine2,ShipToCity,ShipToPostalCode,ShipToRegion,ShipToCountry
43697,2011-05-31 00:00:00,2011-06-12 00:00:00,2011-06-07 00:00:00,21768,6,Cole Watson,601 Asilomar Dr.,,Metchosin,V9,BC ,Canada
43698,2011-05-31 00:00:00,2011-06-12 00:00:00,2011-06-07 00:00:00,28389,7,Rachael Martinez,14, avenue du Port,,Pantin,93500,93 ,France
43699,2011-05-31 00:00:00,2011-06-12 00:00:00,2011-06-07 00:00:00,25863,1,Sydney Wright,4193 E. 28th Street,,Lebanon,97355,OR ,United States
43700,2011-05-31 00:00:00,2011-06-12 00:00:00,2011-06-07 00:00:00,14501,4,Ruben Prasad,249 Alexander Pl.,,Beverly Hills,90210,CA ,United States
43701,2011-05-31 00:00:00,2011-06-12 00:00:00,2011-06-07 00:00:00,11003,9,Christy Zhu,1825 Village Pl.,,North Ryde,2113,NSW,Australia
43702,2011-06-01 00:00:00,2011-06-13 00:00:00,2011-06-08 00:00:00,27645,4,Colin Anand,7626 Sinclair Avenue,,Coronado,92118,CA ,United States
43703,2011-06-01 00:00:00,2011-06-13 00:00:00,2011-06-08 00:00:00,16624,9,Albert Alvarez,3541 Corte Poquito,,Perth,6006,SA ,Australia
43704,2011-06-01 00:00:00,2011-06-13 00:00:00,2011-06-08 00:00:00,11005,9,Julio Ruiz,7305 Humphrey Drive,,East Brisbane,4169,QLD,Australia
43705,2011-06-01 00:00:00,2011-06-13 00:00:00,2011-06-08 00:00:00,11011,9,Curtis Lu,1224 Shoenic,,East Brisbane,4169,QLD,Australia
43706,2011-06-02 00:00:00,2011-06-14 00:00:00,2011-06-09 00:00:00,27621,4,Edward Brown,2226 Cleveland Avenue,,Santa Monica,90401,CA ,United States
43707,2011-06-02 00:00:00,2011-06-14 00:00:00,2011-06-09 00:00:00,27616,4,Emma Brown,3455 Southbrook Dr.,,Lemon Grove,91945,CA ,United States
43708,2011-06-02 00:00:00,2011-06-14 00:00:00,2011-06-09 00:00:00,20042,10,Brad Deng,2732 Frisbie Ct.,,Liverpool,L4 4HB,ENG,United Kingdom
43709,2011-06-02 00:00:00,2011-06-14 00:00:00,2011-06-09 00:00:00,16351,9,Martha Xu,7418 Jumping St.,,Rockhampton,4700,QLD,Australia
43710,2011-06-02 00:00:00,2011-06-14 00:00:00,2011-06-09 00:00:00,16517,9,Katrina Raji,3196 Peachwillow,,Wollongong,2500,NSW,Australia
