CustomerKey,OriginalCustomerId,Title,FirstName,MiddleName,LastName,BirthDate,MaritalStatus,Suffix,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,EducationLevel,Occupation,IsHomeOwner,CarsOwned,AddressLine1,AddressLine2,City,StateProvinceCode,PostalCode,CountryName,SalesTerritoryId,Phone,DateFirstPurchase,CommuteDistance
11000,11000,,Jon,V,Yang,1971-10-06,M,,M,jon24@adventure-works.com,90000,2,0,Bachelors,Professional,1,0,3761 N. 14th St,,Rockhampton,QLD,4700,Australia,9,1 (11) 500 555-0162,2011-01-19,1-2 Miles
11001,11001,,Eugene,L,Huang,1976-05-10,S,,M,eugene10@adventure-works.com,60000,3,3,Bachelors,Professional,0,1,2243 W St.,,Seaford,VIC,3198,Australia,9,1 (11) 500 555-0110,2011-01-15,0-1 Miles
11002,11002,,Ruben,,Torres,1971-02-09,M,,M,ruben35@adventure-works.com,60000,3,3,Bachelors,Professional,1,1,5844 Linden Land,,Hobart,TAS,7001,Australia,9,1 (11) 500 555-0184,2011-01-07,2-5 Miles
11003,11003,,Christy,,Zhu,1973-08-14,S,,F,christy12@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,1825 Village Pl.,,North Ryde,NSW,2113,Australia,9,1 (11) 500 555-0162,2010-12-29,5-10 Miles
11004,11004,,Elizabeth,,Johnson,1979-08-05,S,,F,elizabeth5@adventure-works.com,80000,5,5,Bachelors,Professional,1,4,7553 Harness Circle,,Wollongong,NSW,2500,Australia,9,1 (11) 500 555-0131,2011-01-23,1-2 Miles
11005,11005,,Julio,,Ruiz,1976-08-01,S,,M,julio1@adventure-works.com,70000,0,0,Bachelors,Professional,1,1,7305 Humphrey Drive,,East Brisbane,QLD,4169,Australia,9,1 (11) 500 555-0151,2010-12-30,5-10 Miles
11006,11006,,Janet,G,Alvarez,1976-12-02,S,,F,janet9@adventure-works.com,70000,0,0,Bachelors,Professional,1,1,2612 Berry Dr,,Matraville,NSW,2036,Australia,9,1 (11) 500 555-0184,2011-01-24,5-10 Miles
11007,11007,,Marco,,Mehta,1969-11-06,M,,M,marco14@adventure-works.com,60000,3,3,Bachelors,Professional,1,2,942 Brook Street,,Warrnambool,VIC,3280,Australia,9,1 (11) 500 555-0126,2011-01-09,0-1 Miles
11008,11008,,Rob,,Verhoff,1975-07-04,S,,F,rob4@adventure-works.com,60000,4,4,Bachelors,Professional,1,3,624 Peabody Road,,Bendigo,VIC,3550,Australia,9,1 (11) 500 555-0164,2011-01-25,10+ Miles
11009,11009,,Shannon,C,Carlson,1969-09-29,S,,M,shannon38@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,3839 Northgate Road,,Hervey Bay,QLD,4655,Australia,9,1 (11) 500 555-0110,2011-01-27,5-10 Miles
11010,11010,,Jacquelyn,C,Suarez,1969-08-05,S,,F,jacquelyn20@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,7800 Corrinne Court,,East Brisbane,QLD,4169,Australia,9,1 (11) 500 555-0169,2011-01-14,5-10 Miles
11011,11011,,Curtis,,Lu,1969-05-03,M,,M,curtis9@adventure-works.com,60000,4,4,Bachelors,Professional,1,4,1224 Shoenic,,East Brisbane,QLD,4169,Australia,9,1 (11) 500 555-0117,2010-12-30,10+ Miles
11012,11012,,Lauren,M,Walker,1979-01-14,M,,F,lauren41@adventure-works.com,100000,2,0,Bachelors,Management,1,2,4785 Scott Street,,Bremerton,WA,98312,United States,1,717-555-0164,2013-03-16,1-2 Miles
11013,11013,,Ian,M,Jenkins,1979-08-03,M,,M,ian47@adventure-works.com,100000,2,0,Bachelors,Management,1,3,7902 Hudson Ave.,,Lebanon,OR,97355,United States,1,817-555-0185,2013-04-13,0-1 Miles
11014,11014,,Sydney,,Bennett,1973-11-06,S,,F,sydney23@adventure-works.com,100000,3,0,Bachelors,Management,0,3,9011 Tank Drive,,Redmond,WA,98052,United States,1,431-555-0156,2013-03-23,1-2 Miles
11015,11015,,Chloe,,Young,1984-08-26,S,,F,chloe23@adventure-works.com,30000,0,0,Partial College,Skilled Manual,0,1,244 Willow Pass Road,,Burbank,CA,91502,United States,4,208-555-0142,2013-01-18,5-10 Miles
